id,heading,series,subseries,set,tablenumber,provenience,year,context,chronology1,n_signs,signs_ws_joined
5363,TH Ft 268 (311),F,t,-,268,,1993-1995,LH IIIB2,LH IIIB2,12,̣ka-pa OLIV T 3 V 1 a-ko-da-mo ka-si T 1 V 1̣
5364,TH Gf 108 (-),G,f,-,108,,1993-1995,LH IIIB2,LH IIIB2,11,sup. mut. ḍẹ M na KO M ⟦1⟧ ḳẹ-i-jo inf. mut.
5365,TH Gf 134 (-/305?),G,f,-,134,,1993-1995,LH IIIB2,LH IIIB2,10,sup. mut. vestigia a-me-ro ⟦M⟧ te ṃị-ṭọ-qa-do M inf. mut.
5366,TH Gf 163 (-),G,f,-,163,,1993-1995,LH IIIB2,LH IIIB2,10,sup. mut. ḳụ-ṇọ Ṿ 1̣ we-na-ko-jo Ṃ *6̣3̣ inf. mut.
5367,TH Gp 107 (306),G,p,-,107,,1993-1995,LH IIIB2,LH IIIB2,8,lat. sup. to-so-wo r. *63-te-ṛạ[-de ẹ-p̣ẹ[-to-i inf. mut.
5368,TH Gp 109 (306),G,p,-,109,,1993-1995,LH IIIB2,LH IIIB2,7,*63-te-ra-de di-wi-ja-me-ro qe-te-jo VIN 2 V 5
5369,TH Gp 110 (306),G,p,-,110,,1993-1995,LH IIIB2,LH IIIB2,14,qe VIN S 1 na-ne-mo V 2 FAR V 2 mo-ne-we S 1 *56-ru[-we
5370,TH Gp 111 (306),G,p,-,111,,1993-1995,LH IIIB2,LH IIIB2,11,-ị V 1 Z 3 VIN S 1 V 3̣ Ẓ
5371,TH Gp 112 (306),G,p,-,112,,1993-1995,LH IIIB2,LH IIIB2,7,te-ka-ta-si VIN V 6 *56-ru-we V 2
5372,TH Gp 114 (306),G,p,-,114,,1993-1995,LH IIIB2,LH IIIB2,7,*56-]ṛụ-we V 3 2 te-ka-ta-si V 2
5373,TH Gp 119 (308),G,p,-,119,,1993-1995,LH IIIB2,LH IIIB2,9,pu2-ke-qi-ri-ne VIN *63-te-ra-de S 2 *56[-ru-we *63-te-ra-de S 2̣
5374,TH Gp 122 (306),G,p,-,122,,1993-1995,LH IIIB2,LH IIIB2,3,*63-te-ṛạ[-de a-ki-to Ṿ
5375,TH Gp 124 (306),G,p,-,124,,1993-1995,LH IIIB2,LH IIIB2,10,ko FAR VIN V 2 F̣ẠṚ V 1 Z 1
5376,TH Gp 127 (306),G,p,-,127,,1993-1995,LH IIIB2,LH IIIB2,7,i-si-wi-jo-i VIN V 2 *63-te-ra-de VIN 1
5377,TH Gp 129 (305?),G,p,-,129,,1993-1995,LH IIIB2,LH IIIB2,2,we-ka-sa e-mi-jo-no-i
5378,TH Gp 144 (305?),G,p,-,144,,1993-1995,LH IIIB2,LH IIIB2,8,-we FAR V 1 a-ko-]da-mo V 4̣ a-ẉẹ
5379,TH Gp 145 (306),G,p,-,145,,1993-1995,LH IIIB2,LH IIIB2,5,1 V 2 Ṿ 4
5380,TH Gp 146 (306?),G,p,-,146,,1993-1995,LH IIIB2,LH IIIB2,5,Ṣ 1 V inf. mut.
5381,TH Gp 147 (306),G,p,-,147,,1993-1995,LH IIIB2,LH IIIB2,6,"q̣ẹ-te-jo -si-qe ,̣ qe-te-jo VIN 4̣"
5382,TH Gp 149 (306?),G,p,-,149,,1993-1995,LH IIIB2,LH IIIB2,5,Ṭ 3 V 1⟦1⟧ vac.
5383,TH Gp 150 (-),G,p,-,150,,1993-1995,LH IIIB2,LH IIIB2,7,qe-da-do-ṛọ ku-no V 1 v. to-jo Ṿ
5384,TH Gp 153 (-),G,p,-,153,,1993-1995,LH IIIB2,LH IIIB2,11,j̣ạ-de ke-wa-to F̣ẠṚ 1 T 8 V 4 ḍị inf. mut.
5385,TH Gp 154 (306?),G,p,-,154,,1993-1995,LH IIIB2,LH IIIB2,6,2 V 3 Z 2 2
5386,TH Gp 157 (309),G,p,-,157,,1993-1995,LH IIIB2,LH IIIB2,2,*56-ru-we te-ri-a2
5387,TH Gp 158 (306),G,p,-,158,,1993-1995,LH IIIB2,LH IIIB2,8,wo-ko S 1 ka-sa 1 *56-ru-we V 1
5388,TH Gp 161 (306?),G,p,-,161,,1993-1995,LH IIIB2,LH IIIB2,9,⟦ṾỊṆ 1̣ 6̣ 7̣⟧ ⟦VIN 6 S 2 ⟧
5389,TH Gp 164 (306),G,p,-,164,,1993-1995,LH IIIB2,LH IIIB2,27,ḍẹ VIN 2 S 2 V 2 e-pe-to-i S 1 V 1 S 1 a-ko-ro-da-mo V 2 *56-ru-we V 4 to lat. inf. 1 to-ro-wo S 1
5390,TH Gp 165 (306?),G,p,-,165,,1993-1995,LH IIIB2,LH IIIB2,5,sup. mut. ṾỊṆ 2 *5̣6̣
5391,TH Gp 167 (306),G,p,-,167,,1993-1995,LH IIIB2,LH IIIB2,5,*63-te-ra-de ṾỊṆ a3-ni-jo S 1
5392,TH Gp 168 (306?),G,p,-,168,,1993-1995,LH IIIB2,LH IIIB2,4,*63-te-ra-de VIN S vac.
5393,TH Gp 170 (-),G,p,-,170,,1993-1995,LH IIIB2,LH IIIB2,6,1 1 *56-ru-we V 2 1̣
5394,TH Gp 175 (-),G,p,-,175,,1993-1995,LH IIIB2,LH IIIB2,9,sup. mut. vestigia ta-si V 3 Z 1̣ vac.
5395,TH Gp 176 (306?),G,p,-,176,,1993-1995,LH IIIB2,LH IIIB2,9,*56-ru-we V 3 ke-re-na-i *63-te-ra-de VIN S 1 V
5396,TH Gp 178 (306),G,p,-,178,,1993-1995,LH IIIB2,LH IIIB2,2,te-qa-jo-i *63-ṭẹ-ra-ḍẹ
5397,TH Gp 179 (-),G,p,-,179,,1993-1995,LH IIIB2,LH IIIB2,10,u-re-we VIN S 1 ro-ṛụ a-ra-ki-to Ṣ 1 pi-ri vac.
5398,TH Gp 181 (306),G,p,-,181,,1993-1995,LH IIIB2,LH IIIB2,4,e-]p̣ẹ-to-i S 1 1̣
5399,TH Gp 183 (306),G,p,-,183,,1993-1995,LH IIIB2,LH IIIB2,7,3̣ -de VIN S 1 V 3
5400,TH Gp 184 (306),G,p,-,184,,1993-1995,LH IIIB2,LH IIIB2,12,Ṿ 3 to-pa-po-ro-i VIN S 1 *5̣6̣-ru-we V 2 e-pe-to-i V 1
5401,TH Gp 186 (306?),G,p,-,186,,1993-1995,LH IIIB2,LH IIIB2,7,S 1 Ṿ 1 ṾỊṆ 3 *5̣6̣-ṛụ[-we
5402,TH Gp 188 (306?),G,p,-,188,,1993-1995,LH IIIB2,LH IIIB2,7,Ṿ 1 S 1 *56-ru-we V 1
5403,TH Gp 195 (306?),G,p,-,195,,1993-1995,LH IIIB2,LH IIIB2,3,jo-i S 1
5404,TH Gp 196 (306),G,p,-,196,,1993-1995,LH IIIB2,LH IIIB2,4,*63-te-ra-de e-pe-to-i V 1̣
5405,TH Gp 197 (306?),G,p,-,197,,1993-1995,LH IIIB2,LH IIIB2,7,*6̣3̣-ṭẹ-ra-de ṾỊṆ ṣị V 1 a-ra-o Ṿ
5406,TH Gp 199 (306),G,p,-,199,,1993-1995,LH IIIB2,LH IIIB2,4,3 i-qo-p̣ọ 2̣ pe-ṭạ
5407,TH Gp 201 (306),G,p,-,201,,1993-1995,LH IIIB2,LH IIIB2,5,ma-ka V 1̣ 1̣ e-pe-to[-i
5408,TH Gp 210 (306),G,p,-,210,,1993-1995,LH IIIB2,LH IIIB2,11,lat. sup. KE r. VIN 1 S 2 1̣ ko-ṭạ Ṿ
5409,TH Gp 215 (-),G,p,-,215,,1993-1995,LH IIIB2,LH IIIB2,9,ạ-me-ro qe-da-do-ro FAR V 3 a-]ko-ro-da-mo FAR V 1
5410,TH Gp 227 (306?),G,p,-,227,,1993-1995,LH IIIB2,LH IIIB2,8,V 5 a-ra-o V 1 ra-]ke-da-mo-ni-jo-u-jo V 2̣
5411,TH Gp 230 (306?),G,p,-,230,,1993-1995,LH IIIB2,LH IIIB2,6,*63-te-]ṛạ-de VIN 4̣ vest. inf. mut.
5412,TH Gp 231 (306),G,p,-,231,,1993-1995,LH IIIB2,LH IIIB2,3,*63-te-ra-de ṾỊṆ a-ra-o
5413,TH Gp 233 (306),G,p,-,233,,1993-1995,LH IIIB2,LH IIIB2,3,*63-te-]ṛạ-de ṾỊṆ e-pe-]to-i
5414,TH Gp 235 (-),G,p,-,235,,1993-1995,LH IIIB2,LH IIIB2,5,ṭọ-jo V 1 a vacat
5415,TH Gp 237 (306?),G,p,-,237,,1993-1995,LH IIIB2,LH IIIB2,2,*63-te-ṛạ[-de e-ṃị[-jo-no-i
5416,TH Gp 270 (-),G,p,-,270,,1993-1995,LH IIIB2,LH IIIB2,2,qe-re-ṃạ[-o vacat
5417,TH Gp 290 (-),G,p,-,290,,1993-1995,LH IIIB2,LH IIIB2,5,-ọ CYP+O V 4 vac.
5418,TH Gp 303 (-),G,p,-,303,,1993-1995,LH IIIB2,LH IIIB2,8,ṭẹ i-je-re-ẉị-j̣ọ FAR T 1 V 2 vestigia
5419,TH Gp 313 (-),G,p,-,313,,1993-1995,LH IIIB2,LH IIIB2,8,ẉọ-[• ị-j̣ẹ-ṭọ ṭẹ-o Ṿ 3̣ di-wi-ja⌞ ⌟ḳạ-ṛọ Z
5420,TH Gp 345 (306),G,p,-,345,,1993-1995,LH IIIB2,LH IIIB2,5,Ṿ 1 *56-ru-we Z 2
5421,TH Ka 113 (-),K,a,-,113,,1993-1995,LH IIIB2,LH IIIB2,9,A 2̣0̣ B ka-]na-to 4̣0 a-po-re-we 8 2̣0̣ vac.
5422,TH Ka 366 (-),K,a,-,366,,1993-1995,LH IIIB2,LH IIIB2,7,sup. mut. *213VAS ṃọ ṃọ inf. mut.
5423,TH Lf 139 (-),L,f,-,139,,1994,LH IIIB,LH IIIB2,3,to-po-ne TELA;2+PO 13
5424,TH Of 25 (-),O,f,-,25,,1970,LH IIIB2,LH IIIB2,12,ma-ri-ne-we-ja-i a3-ki-a2-ri-ja LANA 4 vest. a-ma-ru-to-de pa-pa-ra-ki LANA 6 vac. vac. vac.
5425,TH Of 26 (303),O,f,-,26,,1970,LH IIIB2,LH IIIB2,32,pu2-re-wa ku LANA PA 1 ka-ka ku LANA PA 1 su-me-ra-we-jo ku LANA PA 1 ko-ḍẹ-wa-o do-de ku LANA PA 1 di-u-ja-wo do-de⌞ ⌟ ku LANA PA 1 po-re-si ku LANA 1
5426,TH Of 27 (303),O,f,-,27,,1970,LH IIIB2,LH IIIB2,12,•~•]-ri-ta-de ku LANA 1 a-ka-i-je-ja du-qo-te-ja LANA 2 ạ-ka-i-je-ja pu2-ke-qi-ri-ne-ja LANA 2
5427,TH Of 28 (303),O,f,-,28,,1970,LH IIIB2,LH IIIB2,14,pi-ro-pe-se-wa ku LANA 2 i-da-i-jo ku LANA PA 2 e-ra ke-o-te-ja ku LANA 1
5428,TH Of 29 (303),O,f,-,29,,1970,LH IIIB2,LH IIIB2,13,ṇẹ-we-to o-pe-to ⟦ḌẠ ⟧ ku LANA ⟦ ḳụ LANA⟧ te-ru-sa pe-to-no-qa ku LANA
5429,TH Of 30 (303),O,f,-,30,,1970,LH IIIB2,LH IIIB2,5,ko-[•]-re-u ṭụ-ri- qe-ṭạ-ṣẹ-u⌞ ⌟po vac.
5430,TH Of 31 (303),O,f,-,31,,1970,LH IIIB2,LH IIIB2,10,do-]de ku LANA PA ḍọ-de ku LANA P̣Ạ e-ma-a2 re-
5431,TH Of 32 (303),O,f,-,32,,1970,LH IIIB2,LH IIIB2,11,⟦ ⟧ ⟦ ṇọ ḳụ ḶẠṆẠ P̣Ạ⟧ ⟦ ḶẠṆẠ PA 1⟧
5432,TH Of 33 (-),O,f,-,33,,1970,LH IIIB2,LH IIIB2,17,ku-ru-me-no ku LANA PA 1 o-*34-ta-o do-de ku LANA PA 1 qi-wo di-u-ja-wo ku LANA PA 2
5433,TH Of 34 (303),O,f,-,34,,1970,LH IIIB2,LH IIIB2,12,a-pi-qo-ro ne-wa ko-tu-ro2 DA LANA 3 ⟦PA 1⟧ a-ra-ka-te-ja pa-ra-ja LANA 1
5434,TH Of 35 (303),O,f,-,35,,1970,LH IIIB2,LH IIIB2,10,ko-ma-we-te-ja te-pe-ja ku LANA 1 ̣ma-ri-ne-we-ja-i a-ki-a2-ri-ja-de ku LANA 3
5435,TH Of 36 (303),O,f,-,36,,1970,LH IIIB2,LH IIIB2,12,no-ri-wo-ki-de ku LANA 1 a-ke-ti-ra2 wa-na-ka po-ti-ni-ja wo-ko-de a-ke-ti-ra2 ku LANA 1
5436,TH Of 37 (-),O,f,-,37,,1970,LH IIIB2,LH IIIB2,5,qa-ra2-to-de a-re-i-ze-we-i ku LANA 10
5437,TH Of 38 (303?),O,f,-,38,,1970,LH IIIB2,LH IIIB2,10,qa-ra2-te ku LANA 10 ra-mo-de ka u-de ne-e-to ku LANA
5438,TH Of 39 (303?),O,f,-,39,,1970,LH IIIB2,LH IIIB2,12,vest. ku LANA 2 vest. ṇẹ-a2-ri-da DA ku LANA 3 P̣Ạ 1
5439,TH Of 40 (303?),O,f,-,40,,1970,LH IIIB2,LH IIIB2,12,ḳẹ DA 1 ku LANA 6 vest. ku LANA 3 PA 2
5440,TH Oh 206 (-),O,h,-,206,,1993-1995,LH IIIB2,LH IIIB2,8,LANA 1 M 1 ja o-nu-ke-wi LANA 1
5441,TH Oh 208 (-),O,h,-,208,,1993-1995,LH IIIB2,LH IIIB2,6,1̣ pe-re-ke-we pe-re ḍọ-si M 4
5442,TH Oh 209 (-),O,h,-,209,,1993-1995,LH IIIB2,LH IIIB2,3,-ke LANA 3
5443,TH Ug 1 (301),U,g,-,1,,1964,LH IIIB,LH IIIB2,1,pe-pi-te-me-no-jo
5444,TH Ug 2 (301),U,g,-,2,,1964,LH IIIB,LH IIIB2,1,pe-pi-te-me
5445,TH Ug 3 (301/302),U,g,-,3,,1964,LH IIIB,LH IIIB2,4,pe-pi-te-me-no-jo o-*34-ta O 3
5446,TH Ug 4 (301),U,g,-,4,,1964,LH IIIB,LH IIIB2,3,a-ka-to-wa-o au-to-te-qa-jo Ọ
5447,TH Ug 5 (302),U,g,-,5,,1964,LH IIIB,LH IIIB2,4,a-ka-to-wa-o ka-e-sa-me-no au-ri-jo O
5448,TH Ug 6 + frr. (302),U,g,-,6,,1964,LH IIIB,LH IIIB2,3,a-ka-to-wa-o⌞ ⌟ Ọ
5449,TH Ug 7 (302),U,g,-,7,,1964,LH IIIB,LH IIIB2,1,a-ka-to
5450,TH Ug 8 (301),U,g,-,8,,1964,LH IIIB,LH IIIB2,1,wa-o
5451,TH Ug 9 (-),U,g,-,9,,1964,LH IIIB,LH IIIB2,4,j̣ạ a-mu-ta-wo O 6
5452,TH Ug 10 (-),U,g,-,10,,1964,LH IIIB,LH IIIB2,3,sup. mut. ta-wo-no
5453,TH Ug 11 (301),U,g,-,11,,1964,LH IIIB,LH IIIB2,4,vest. di-wi-ja-wo O 3
5454,TH Ug 12 (301/302),U,g,-,12,,1964,LH IIIB,LH IIIB2,3,pe-ta-o-ni-jo O 14̣
5455,TH Ug 13 (302),U,g,-,13,,1964,LH IIIB,LH IIIB2,3,ta-i-da O 2
5456,TH Ug 14 + fr. (302),U,g,-,14,,1964,LH IIIB,LH IIIB2,4,ạ3-ṣạ to-so O 100
5457,TH Ug 15 (-),U,g,-,15,,1964,LH IIIB,LH IIIB2,2,jo da-i-ḳọ
5458,TH Ug 16 (-),U,g,-,16,,1964,LH IIIB,LH IIIB2,2,jo to-ma
5459,TH Ug 17 (302),U,g,-,17,,1964,LH IIIB,LH IIIB2,3,ọ po-qa te-ra-a2
5460,TH Ug 18 (-),U,g,-,18,,1964,LH IIIB,LH IIIB2,1,5
5461,TH Ug 19 (-),U,g,-,19,,1964,LH IIIB,LH IIIB2,3,sup. mut. ṭọ-wa
5462,TH Ug 20 (301),U,g,-,20,,1964,LH IIIB,LH IIIB2,5,sup. mut. ṭọ-wa-o inf. mut.
5463,TH Ug 21 (301),U,g,-,21,,1964,LH IIIB,LH IIIB2,2,ne-we O
5464,TH Ug 22 (301),U,g,-,22,,1964,LH IIIB,LH IIIB2,4,O 1 inf. mut.
5465,TH Ug 23 (302?),U,g,-,23,,1964,LH IIIB,LH IIIB2,4,O 30 inf. mut.
5466,TH Ug 24 (-),U,g,-,24,,1964,LH IIIB,LH IIIB2,1,1
5467,TH Ug 41 (-),U,g,-,41,,1970,LH IIIB,LH IIIB2,2,e-pe-i-ja-o po-te-u
5468,TH Ug 42 (-),U,g,-,42,,1970,LH IIIB,LH IIIB2,3,qa-si-re-wi e-pe-i-ja-o a
5469,TH Ug 43 (-),U,g,-,43,,1970,LH IIIB,LH IIIB2,1,ṇọ-u-ja-de
5470,TH Ug 421 (301),U,g,-,421,,1996,LH IIIB2 (drawers),LH IIIB2,3,no-jo wa-u-do-ta O
5471,TH Ug 422 (301),U,g,-,422,,1996,LH IIIB2 (drawers),LH IIIB2,5,ja-we-jo O 1 inf. mut.
5472,TH Ug 423 (302?),U,g,-,423,,1996,LH IIIB2 (drawers),LH IIIB2,6,ḍạ ḳạ-de O 1 inf. mut.
5473,TH Ug 424 (301),U,g,-,424,,1996,LH IIIB2 (drawers),LH IIIB2,3,-ạ2 O 1
5474,TH Ug 425 (301),U,g,-,425,,1996,LH IIIB2 (drawers),LH IIIB2,4,Ọ 1̣ inf. mut.
5475,TH Ug 426 (301?),U,g,-,426,,1996,LH IIIB2 (drawers),LH IIIB2,3,sup. mut. -j̣ạ
5476,TH Ug 427 (301?),U,g,-,427,,1996,LH IIIB2 (drawers),LH IIIB2,3,sup. mut. -ọ
5477,TH Ug 428 (301?),U,g,-,428,,1996,LH IIIB2 (drawers),LH IIIB2,1,1
5478,TH Uo 121 (-),U,o,-,121,,1993-1995,LH IIIB2,LH IIIB2,10,*153 1 VIN S 1 OVIS 1 CAP 1 *190
5479,TH Up 432 (-),U,p,-,432,,1996,LH IIIB2,LH IIIB2,27,e-u-te-we-jo S 1 V 2 qa-so-pi V 1 po-to-e V 1 Z 2 e-ri-ni-jo V 1 a2-jo V 1 e-ri-ni-jo V 4 wa V 5 inf. mut.
5480,TH V 159 (314),V,-,-,159,,1993-1995,LH IIIB2,LH IIIB2,3,"i-qi-ja ,̣ a"
5481,TH V 160 (314),V,-,-,160,,1993-1995,LH IIIB2,LH IIIB2,1,wo-to-we-ro
5482,TH Wu 44 (-),W,u,-,44,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α CAP:m supra sigillum=A β i-je-ra γ vac.
5483,TH Wu 45 (-),W,u,-,45,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,6,α sigillum=B β *56-pu-so γ ro-we-wi-ja
5484,TH Wu 46 (α),W,u,-,46,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,10,α CAP:f supra sigillum=C β pa-ra-wo o-pa γ *171 30
5485,TH Wu 47 (γ??),W,u,-,47,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,9,α SUS:m supra sigillum=D β pa-ro te-qa-jo γ ro-we-wi-ja
5486,TH Wu 48 (-),W,u,-,48,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,10,α *190 supra sigillum=D β vac. vac. γ vac. vac.
5487,TH Wu 49 (-),W,u,-,49,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=E β qe-te-o γ a-ko-ra
5488,TH Wu 50 (β),W,u,-,50,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α CAP:f supra sigillum=E β qe-te-o γ a-ko-ra
5489,TH Wu 51 (γ),W,u,-,51,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α SUS:m supra sigillum=D β te-qa-de γ qe-te-a2
5490,TH Wu 52 (δ),W,u,-,52,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α SUS+SI supra sigillum=F β a-ko-ra-jo γ vac.
5491,TH Wu 53 (-),W,u,-,53,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α ḄỌṢ:m supra sigillum=F β qe-ṭẹ-o γ i-ri-ja
5492,TH Wu 54 (ε),W,u,-,54,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,9,α CAP:m supra sigillum=G β vac. γ vac. vac.
5493,TH Wu 55 (-),W,u,-,55,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α SUS:m supra sigillum=H β ka-ru-to γ vac.
5494,TH Wu 56 (α),W,u,-,56,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,12,α CAP:m supra sigillum=C β sup. mut. •]-pe-ṛẹ-ta o-pa γ *171 30
5495,TH Wu 57 (-),W,u,-,57,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,12,α OVIS:x supra sigillum=I inf. mut. β vac. γ sup. mut. deest
5496,TH Wu 58 (α),W,u,-,58,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,9,α SUS supra sigillum=C β o-pa qe-ri-jo-jo γ a-ma-ru-to
5497,TH Wu 59 (ζ),W,u,-,59,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,12,α *171 36 supra sigillum=J SUS:x β pa-ro sa-me- γ -we ro-we-wi-j̣ạ
5498,TH Wu 60 (ζ),W,u,-,60,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,11,α ṢỤṢ:m supra sigillum=J β sup. mut. pa-ṛọ sa-me-we γ vac.
5499,TH Wu 61 (-),W,u,-,61,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α ỌṾỊṢ:f supra sigillum=K β deest γ vac.
5500,TH Wu 62 (ε),W,u,-,62,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α CAP:m supra sigillum=G β vac. γ vac.
5501,TH Wu 63 (β),W,u,-,63,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α SUS:f supra sigillum=E β qe-te-o γ a-ko-ra
5502,TH Wu 64 (-),W,u,-,64,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α WE supra sigillum=M β o-pa γ vac.
5503,TH Wu 65 (γ),W,u,-,65,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:f supra sigillum=D β te-qa-de γ qe-te-a2
5504,TH Wu 66 (-),W,u,-,66,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α SUS:m supra sigillum=H β •]-[•]-ẹ γ i-je-ro
5505,TH Wu 67 (η),W,u,-,67,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=O β po-ro-e-ko- γ -to
5506,TH Wu 68 (δ),W,u,-,68,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α SUS+SI supra sigillum=F β a-ko-ra-jo γ vac.
5507,TH Wu 69 (-),W,u,-,69,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α CAP:f supra sigillum=P β vac. γ vac.
5508,TH Wu 70 (-),W,u,-,70,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,10,α OVIS:m supra sigillum=F β a-e-ri-qo vac. γ a-e-ri-qo vac.
5509,TH Wu 71 (-),W,u,-,71,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,6,α sigillum=L β PYC+O γ vac.
5510,TH Wu 72 (-),W,u,-,72,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=F β vac. γ vac.
5511,TH Wu 73 (-),W,u,-,73,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α ỌṾỊṢ:m supra sigillum=Q β vac. γ vac.
5512,TH Wu 74 (-),W,u,-,74,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,11,α we CAP:ṃ supra sigillum=O β ạụ-[•]-e inf. mut. γ vest.
5513,TH Wu 75 (-),W,u,-,75,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α SUS:m supra sigillum=G β e-qi-ti- γ -wo-e
5514,TH Wu 76 (α),W,u,-,76,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,11,α BOS:f supra sigillum=C β a-e-ri-qo vac. γ o-pa *171 30
5515,TH Wu 77 (-),W,u,-,77,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,12,α sup. mut. ỌṾỊṢ:m supra sigillum=O β sup. mut. vest. γ -ta
5516,TH Wu 78 (-),W,u,-,78,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=K β ẈẸ γ vac.
5517,TH Wu 79 (θ),W,u,-,79,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=R β vac. γ vac.
5518,TH Wu 80 (-),W,u,-,80,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α *190 supra sigillum=S β vac. γ vac.
5519,TH Wu 81 (-),W,u,-,81,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,10,α sup. mut. sigillum=L β sup. mut. vest. γ vac.
5520,TH Wu 82 (-),W,u,-,82,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=T β vac. γ deest
5521,TH Wu 83 (θ),W,u,-,83,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=R β vac. γ vac.
5522,TH Wu 84 (θ),W,u,-,84,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=R β vac. γ vac.
5523,TH Wu 85 (θ),W,u,-,85,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=R β vac. γ vac.
5524,TH Wu 86 (ι),W,u,-,86,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=U β i-je-ro γ vac.
5525,TH Wu 87 (ι),W,u,-,87,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α CAP:m supra sigillum=U β i-je-ro γ vac.
5526,TH Wu 88 (α?),W,u,-,88,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,9,α CAP:x supra sigillum=C β ra-mi-jo o-pa γ deest
5527,TH Wu 89 (-),W,u,-,89,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α *190 supra sigillum=D β a-pu-do-ke γ vac.
5528,TH Wu 90 (κ),W,u,-,90,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α CAP:f supra sigillum=V β de γ vac.
5529,TH Wu 91 (θ),W,u,-,91,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=R β vac. γ vac.
5530,TH Wu 92 (η),W,u,-,92,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α CAP:m supra sigillum=O β po-ro-e-ko- γ -to
5531,TH Wu 93 (-),W,u,-,93,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α OVIS:m supra sigillum=S β vac. γ vac.
5532,TH Wu 94 (γ),W,u,-,94,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α CAP:f supra sigillum=D β a2-pa-a2-de γ vac.
5533,TH Wu 95 (-),W,u,-,95,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α *190 supra sigillum=S β vac. γ vac.
5534,TH Wu 96 (γ),W,u,-,96,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α SUS:f supra sigillum=D β te-qa-de γ qe-te-a2
5535,TH Wu 97 (-),W,u,-,97,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α CAP:f supra sigillum=W β vac. γ vac.
5536,TH Wu 98 (-),W,u,-,98,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,8,α *190 supra sigillum=O β deest γ vac.
5537,TH Wu 99 (κ),W,u,-,99,,1982,LH IIIB1,LH IIIB1 or LH IIIB2,12,α CAP:f supra sigillum=V inf. mut. β a-dwe-ẹ inf. mut. γ deest
